frame_id,write_ns,after_denoise_ns,after_edge_ns,after_overlay_ns,display_ns,end_to_end_us
0,2347735843800,2347743542187,2347748803752,2347752556047,2347752556119,16712.319
1,2347752599185,2347754322977,2347755063831,2347755769044,2347755769070,3169.885
2,2347755776793,2347757329427,2347758072388,2347758774825,2347758774849,2998.056
3,2347758783812,2347760601607,2347761672560,2347762541556,2347762541596,3757.784
4,2347762549878,2347764743027,2347765927198,2347767408470,2347767408494,4858.616
5,2347767418865,2347770001081,2347771105974,2347771987658,2347771987683,4568.818
6,2347772915791,2347774814291,2347775605226,2347776404240,2347776404264,3488.473
7,2347776412225,2347778436860,2347779308910,2347780185263,2347780185286,3773.061
8,2347780192800,2347782439935,2347783741352,2347784738866,2347784738884,4546.084
9,2347784746533,2347786437510,2347787179122,2347787883977,2347787884002,3137.469
10,2347787889361,2347789545030,2347790279696,2347791031070,2347791031092,3141.731
11,2347791039045,2347792968576,2347793879242,2347794746285,2347794746333,3707.288
12,2347795768384,2347797843882,2347798664883,2347799416592,2347799416616,3648.232
13,2347799424182,2347801036876,2347801779460,2347802486858,2347802486882,3062.700
14,2347802496103,2347804029679,2347804792368,2347805524971,2347805524996,3028.893
15,2347805533084,2347807050350,2347807791642,2347808562739,2347808562763,3029.679
16,2347808566173,2347810189803,2347811086279,2347811824925,2347811824947,3258.774
17,2347811832366,2347814106390,2347814855721,2347815725696,2347815725742,3893.376
18,2347816447311,2347818046900,2347819359660,2347820066098,2347820066121,3618.810
19,2347820074079,2347822439598,2347823250248,2347824066133,2347824066155,3992.076
20,2347824074201,2347825638164,2347826380824,2347827241513,2347827241547,3167.346
21,2347827250564,2347828988296,2347829850348,2347830640841,2347830640865,3390.301
22,2347830648504,2347832646103,2347833392119,2347834108294,2347834108319,3459.815
23,2347834115820,2347836383552,2347837126508,2347837878026,2347837878051,3762.231
24,2347838519602,2347840194935,2347840943292,2347841659136,2347841659161,3139.559
25,2347841666532,2347843183609,2347844167171,2347844875487,2347844875511,3208.979
26,2347844882843,2347846440805,2347847186191,2347847890956,2347847890981,3008.138
27,2347847899499,2347849529738,2347850268612,2347850976155,2347850976178,3076.679
28,2347850980977,2347852989311,2347853732033,2347854948844,2347854948878,3967.901
29,2347854956031,2347856555645,2347857311238,2347858046886,2347858046910,3090.879
30,2347858053960,2347859593647,2347860516867,2347861295109,2347861295133,3241.173
31,2347861829790,2347864223620,2347865147477,2347866095656,2347866095707,4265.917
32,2347866105347,2347868608297,2347869459943,2347870239905,2347870240012,4134.665
33,2347870248147,2347872744399,2347875027097,2347876185227,2347876185274,5937.127
34,2347876196263,2347878723439,2347879710960,2347880690040,2347880690066,4493.803
35,2347880699781,2347883265795,2347884729205,2347886148620,2347886148646,5448.865
36,2347886160032,2347889073064,2347890031488,2347891105851,2347891105875,4945.843
37,2347891716286,2347893520953,2347894477678,2347896107996,2347896108035,4391.749
38,2347896117949,2347898683098,2347900275297,2347901173036,2347901173062,5055.113
39,2347901183794,2347903207654,2347904214469,2347905070375,2347905070404,3886.610
40,2347905080904,2347906761231,2347907576067,2347908429493,2347908429642,3348.738
41,2347908440849,2347910200876,2347911062785,2347912377980,2347912378003,3937.154
42,2347912388336,2347914065951,2347914810702,2347915553110,2347915553150,3164.814
43,2347916243709,2347917826041,2347918603044,2347919418812,2347919418859,3175.150
44,2347919426033,2347921042982,2347921794708,2347922506173,2347922506198,3080.165
45,2347922515871,2347924099766,2347924842699,2347925552554,2347925552578,3036.707
46,2347925561889,2347927374010,2347928449981,2347929239830,2347929239854,3677.965
47,2347929246632,2347930854199,2347931602227,2347932381523,2347932381558,3134.926
48,2347932391863,2347933917584,2347934655763,2347935363883,2347935363908,2972.045
49,2347936045432,2347937643084,2347938407016,2347939128307,2347939128332,3082.900
50,2347939135281,2347940728983,2347941475335,2347942222430,2347942222464,3087.183
51,2347942230638,2347943926780,2347944709818,2347945476243,2347945476267,3245.629
52,2347945483175,2347947056231,2347947796937,2347948601643,2347948601677,3118.502
53,2347948610521,2347950135715,2347950864543,2347951594190,2347951594216,2983.695
54,2347951602912,2347953175085,2347953906277,2347954615001,2347954615073,3012.161
55,2347954623257,2347956433100,2347957570558,2347958280221,2347958280246,3656.989
56,2347958890010,2347960751962,2347961485614,2347962193864,2347962193890,3303.880
57,2347962201839,2347963746419,2347964548697,2347965259003,2347965259027,3057.188
58,2347965267277,2347966773609,2347967504547,2347968261906,2347968261940,2994.663
59,2347968267181,2347969785955,2347970518404,2347971230223,2347971230249,2963.068
60,2347971238910,2347972947299,2347973684770,2347974439552,2347974439578,3200.668
61,2347974499128,2347976239266,2347977109705,2347977811255,2347977811281,3312.153
62,2347978393152,2347979988155,2347980796184,2347981508806,2347981508830,3115.678
63,2347981518025,2347983048892,2347983784062,2347984583502,2347984583526,3065.501
64,2347984593232,2347986105933,2347986882836,2347987844083,2347987844109,3250.877
65,2347987854111,2347989703852,2347990592661,2347991533841,2347991534237,3680.126
66,2347991544972,2347994158356,2347996337106,2347997204155,2347997204195,5659.223
67,2347997212164,2347998797799,2347999539413,2348000318555,2348000318650,3106.486
68,2348000881018,2348002456115,2348003196679,2348003982101,2348003982125,3101.107
69,2348003990066,2348005737255,2348006472733,2348007187365,2348007187391,3197.325
70,2348007194027,2348008766584,2348009494012,2348010301211,2348010301245,3107.218
71,2348010309576,2348012174591,2348012914363,2348013618887,2348013619398,3309.822
72,2348013627080,2348015145201,2348016209814,2348016967416,2348016967457,3340.377
73,2348016974609,2348018570940,2348019318743,2348020092814,2348020092839,3118.230
74,2348020626682,2348022207253,2348022961502,2348023669736,2348023669761,3043.079
75,2348023676947,2348025293046,2348026015124,2348026779065,2348026779090,3102.143
76,2348026787726,2348028489687,2348029248072,2348029953157,2348029953181,3165.455
77,2348029960184,2348031725944,2348032567746,2348033287094,2348033287119,3326.935
78,2348033293323,2348034927756,2348035672397,2348036463611,2348036463635,3170.312
79,2348036470690,2348037970070,2348038700722,2348039424070,2348039424095,2953.405
80,2348039426811,2348040995489,2348041727085,2348042431181,2348042431206,3004.395
81,2348043063006,2348044756742,2348045492499,2348046198774,2348046198798,3135.792
82,2348046207165,2348047743006,2348048582652,2348049288207,2348049288231,3081.066
83,2348049296490,2348050800986,2348051533126,2348052294734,2348052294761,2998.271
84,2348052298669,2348053836318,2348055002818,2348055767028,2348055767061,3468.392
85,2348055773919,2348057392112,2348058128025,2348058828666,2348058828692,3054.773
86,2348058836807,2348060441471,2348061172191,2348061877402,2348061877426,3040.619
87,2348062575191,2348064296944,2348065037883,2348065766548,2348065766573,3191.382
88,2348065774754,2348067286284,2348068093028,2348068844112,2348068844135,3069.381
89,2348068851536,2348070364926,2348071127397,2348071837184,2348071837208,2985.672
90,2348071845435,2348073452111,2348074241567,2348074947662,2348074947686,3102.251
91,2348074998026,2348076770508,2348077517848,2348078225148,2348078225172,3227.146
92,2348078232430,2348079749622,2348080561312,2348081311717,2348081311751,3079.321
93,2348081945413,2348083534092,2348084396716,2348085272848,2348085272873,3327.460
94,2348085281149,2348087148644,2348088106312,2348089019470,2348089019495,3738.346
95,2348089027931,2348091383746,2348092494039,2348093540413,2348093540470,4512.539
96,2348093552524,2348095836347,2348096938102,2348097784165,2348097784189,4231.665
97,2348097792662,2348099468948,2348100237963,2348100985460,2348100985485,3192.823
98,2348100996101,2348102502304,2348103251044,2348103962999,2348103963024,2966.923
99,2348104666576,2348106646824,2348107403680,2348108194206,2348108194231,3527.655
100,2348108202019,2348109954543,2348110931748,2348111771858,2348111771882,3569.863
101,2348111779429,2348113384655,2348114125654,2348114836939,2348114836964,3057.535
102,2348114841021,2348116436105,2348117171125,2348117884722,2348117884747,3043.726
103,2348117893557,2348119405636,2348120227468,2348120998733,2348120998766,3105.209
104,2348121007238,2348122607323,2348123357706,2348124099787,2348124099812,3092.574
105,2348124109099,2348125655586,2348126387374,2348127245300,2348127245324,3136.225
106,2348127880252,2348129527645,2348130294969,2348131000998,2348131001022,3120.770
107,2348131009236,2348132565425,2348133313871,2348134018965,2348134018990,3009.754
108,2348134026549,2348135575650,2348136568150,2348137393561,2348137393586,3367.037
109,2348137400494,2348139240489,2348140066694,2348140874299,2348140874322,3473.828
110,2348140881722,2348142682868,2348144092581,2348145072435,2348145072459,4190.737
111,2348145080381,2348146837903,2348147621827,2348148393702,2348148393742,3313.361
112,2348148969920,2348150806956,2348151621906,2348152479703,2348152479813,3509.893
113,2348152486875,2348154291979,2348155030143,2348155824199,2348155824238,3337.363
114,2348155833016,2348157441911,2348158209051,2348158910538,2348158910563,3077.547
115,2348158918481,2348160683767,2348161437245,2348162239177,2348162239230,3320.749
116,2348162246884,2348163887724,2348164689465,2348165397534,2348165397558,3150.674
117,2348165405842,2348166926746,2348167674723,2348168465179,2348168465204,3059.362
118,2348169121348,2348170674873,2348171410789,2348172334796,2348172334823,3213.475
119,2348172342169,2348173888724,2348174623573,2348175325052,2348175325077,2982.908
120,2348175334027,2348176910947,2348177635086,2348178389282,2348178389306,3055.279
121,2348178456073,2348180607739,2348181346489,2348182172528,2348182172551,3716.478
122,2348182179883,2348183725130,2348184522710,2348185228382,2348185228408,3048.525
123,2348185237139,2348186747971,2348187481174,2348188235410,2348188235434,2998.295
124,2348188832476,2348190434899,2348191178192,2348191908130,2348191908155,3075.679
125,2348191919963,2348193963472,2348194856214,2348195683321,2348195683346,3763.383
126,2348195691531,2348197510662,2348198255734,2348198998616,2348198998640,3307.109
127,2348199006159,2348200834211,2348201575075,2348202277846,2348202277870,3271.711
128,2348202285503,2348203789819,2348204582627,2348205316141,2348205316166,3030.663
129,2348205325375,2348206851193,2348207586222,2348208319071,2348208319111,2993.736
130,2348208987735,2348211116109,2348212271172,2348213463866,2348213463947,4476.212
131,2348213475167,2348215385817,2348216181321,2348216885380,2348216885416,3410.249
132,2348216893257,2348218412919,2348219327808,2348220069370,2348220069395,3176.138
133,2348220093639,2348221676378,2348222417247,2348223124283,2348223124309,3030.670
134,2348223133570,2348224716428,2348225442092,2348226164536,2348226164561,3030.991
135,2348226173459,2348228075490,2348229121584,2348229952980,2348229953049,3779.590
136,2348230565551,2348232227185,2348232968291,2348233687788,2348233687813,3122.262
137,2348233695039,2348235198314,2348235934253,2348236755489,2348236755513,3060.474
138,2348236762696,2348238871142,2348239978256,2348240935898,2348240935922,4173.226
139,2348240945492,2348242750742,2348243686184,2348244604116,2348244604162,3658.670
140,2348244614151,2348246319388,2348247085470,2348247807638,2348247807662,3193.511
141,2348247817817,2348249420504,2348250155694,2348250988569,2348250988593,3170.776
142,2348250997807,2348252697707,2348253550834,2348254271221,2348254271245,3273.438
143,2348255010820,2348256657645,2348257463367,2348258170142,2348258170167,3159.347
144,2348258179290,2348259733812,2348260716369,2348261435636,2348261435671,3256.381
145,2348261443239,2348262986211,2348263734210,2348264540438,2348264540479,3097.240
146,2348264549578,2348266103846,2348266851049,2348267579445,2348267579470,3029.892
147,2348267589082,2348269299112,2348270245746,2348270997961,2348270997985,3408.903
148,2348271005375,2348272593104,2348273385883,2348274114449,2348274114474,3109.099
149,2348274887458,2348276580171,2348277576478,2348278302788,2348278302812,3415.354
150,2348278309877,2348279867241,2348280697606,2348281835486,2348281835510,3525.633
151,2348281883841,2348283578551,2348284378804,2348285085707,2348285085730,3201.889
152,2348285093190,2348286616925,2348287393283,2348288147176,2348288147212,3054.022
153,2348288156917,2348289711774,2348290468306,2348291184083,2348291184108,3027.191
154,2348291192794,2348292881113,2348293928006,2348294728133,2348294728158,3535.364
155,2348295351896,2348297067600,2348297802761,2348298900494,2348298900521,3548.625
156,2348298911503,2348301837355,2348302821914,2348303552547,2348303552572,4641.069
157,2348303560167,2348305203051,2348305959372,2348306715902,2348306715927,3155.760
158,2348306724660,2348308307327,2348309032716,2348309913476,2348309913502,3188.842
159,2348309925055,2348311995200,2348313015972,2348313926722,2348313926746,4001.691
160,2348313935690,2348315695086,2348316518048,2348317223984,2348317224009,3288.319
161,2348317881924,2348319475418,2348320287996,2348320995703,2348320995727,3113.803
162,2348321003824,2348322834218,2348323575540,2348324381687,2348324381742,3377.918
163,2348324389186,2348325909984,2348326677890,2348327532340,2348327532365,3143.179
164,2348327539560,2348329135727,2348329878465,2348330589451,2348330589476,3049.916
165,2348330594809,2348332196103,2348332934944,2348333648605,2348333648630,3053.821
166,2348333656435,2348335171116,2348335899735,2348336643816,2348336643842,2987.407
167,2348337415613,2348339025079,2348339801059,2348340594869,2348340594894,3179.281
168,2348340604352,2348342153970,2348342887869,2348343737568,2348343737601,3133.249
169,2348343746025,2348345674980,2348346448822,2348347196798,2348347196823,3450.798
170,2348347204037,2348348792838,2348349536727,2348350245762,2348350245785,3041.748
171,2348350252085,2348351758177,2348352599370,2348353319847,2348353319871,3067.786
172,2348353327749,2348354837345,2348355568049,2348356340491,2348356340515,3012.766
173,2348357008929,2348358614520,2348359347717,2348360264345,2348360264407,3255.478
174,2348360272001,2348361840745,2348362581250,2348363287509,2348363287533,3015.532
175,2348363292497,2348364874406,2348365611488,2348366334290,2348366334316,3041.819
176,2348366342802,2348367845953,2348368672157,2348369378800,2348369378825,3036.023
177,2348369386183,2348370894032,2348371622531,2348372542221,2348372542249,3156.066
178,2348372549606,2348374445900,2348375214331,2348375955776,2348375955800,3406.194
179,2348375962688,2348377525164,2348378268442,2348378974267,2348378974310,3011.622
180,2348379733799,2348381381296,2348382327187,2348383032509,2348383032535,3298.736
181,2348383086703,2348385649688,2348386389965,2348387096539,2348387096563,4009.860
182,2348387104707,2348388753226,2348389506137,2348390215378,2348390215404,3110.697
183,2348390224717,2348391730053,2348392580350,2348393295106,2348393295131,3070.414
184,2348393303178,2348394819110,2348395568165,2348396365107,2348396365148,3061.970
185,2348396374274,2348397877702,2348398613334,2348399322146,2348399322170,2947.896
186,2348400073342,2348401647429,2348402554920,2348403480602,2348403480648,3407.306
187,2348403490116,2348405574894,2348406625164,2348407541451,2348407541477,4051.361
188,2348407551905,2348410140761,2348411398324,2348412382810,2348412382844,4830.939
189,2348412393977,2348414337976,2348415078323,2348415787899,2348415787924,3393.947
190,2348415798521,2348417423389,2348418161668,2348418866907,2348418866932,3068.411
191,2348418874653,2348420443226,2348421172879,2348422061910,2348422061935,3187.282
192,2348422725738,2348424389686,2348425189220,2348425890158,2348425890356,3164.618
193,2348425897715,2348427909934,2348428862250,2348429579872,2348429579896,3682.181
194,2348429586983,2348431165530,2348431924013,2348432691364,2348432691387,3104.404
195,2348432701129,2348434241617,2348434985720,2348435706476,2348435706500,3005.371
196,2348435715244,2348437408551,2348438152650,2348438889744,2348438889768,3174.524
197,2348438896853,2348440464408,2348441201909,2348441919084,2348441919110,3022.257
198,2348442691178,2348444544054,2348445283003,2348445993832,2348445993857,3302.679
199,2348446000757,2348447509383,2348448352691,2348449080286,2348449080420,3079.663
200,2348449087493,2348450620546,2348451350925,2348452246658,2348452246683,3159.190
201,2348452253552,2348453828091,2348454571835,2348455279379,2348455279404,3025.852
202,2348455288043,2348456875771,2348457620223,2348458338556,2348458338581,3050.538
203,2348458346058,2348459879594,2348460749888,2348461458008,2348461458032,3111.974
204,2348462107635,2348463708016,2348464554373,2348465275356,2348465275381,3167.746
205,2348465283042,2348466814004,2348468197861,2348468918143,2348468918182,3635.140
206,2348468925724,2348470516245,2348471264893,2348471971394,2348471971674,3045.950
207,2348471981817,2348473641491,2348474386250,2348475097041,2348475097065,3115.248
208,2348475106066,2348476754509,2348477537694,2348478261412,2348478261437,3155.371
209,2348478269523,2348479795498,2348480614717,2348481322584,2348481322609,3053.086
210,2348482095431,2348483683091,2348484489590,2348485216368,2348485216392,3120.961
211,2348485256358,2348487663906,2348488488628,2348489192825,2348489192850,3936.492
212,2348489200877,2348490726032,2348491463074,2348492256680,2348492256720,3055.843
213,2348492265258,2348493826442,2348494562853,2348495272566,2348495272590,3007.332
214,2348495275182,2348496872815,2348497867879,2348498730971,2348498730996,3455.814
215,2348498742315,2348500628595,2348501698723,2348502607877,2348502607903,3865.588
216,2348502615802,2348504826023,2348505901884,2348506803708,2348506803747,4187.945
217,2348507406474,2348509054079,2348509785141,2348510658125,2348510658158,3251.684
218,2348510666473,2348512932996,2348514001745,2348515055463,2348515055497,4389.024
219,2348515062979,2348516716213,2348517449612,2348518155828,2348518155854,3092.875
220,2348518165548,2348519701039,2348520509289,2348521216648,2348521216674,3051.126
221,2348521224800,2348522789997,2348523523548,2348524261961,2348524261985,3037.185
222,2348524265751,2348525816426,2348526562242,2348527585643,2348527585689,3319.938
223,2348528443870,2348530051275,2348530802484,2348531522244,2348531522270,3078.400
224,2348531532632,2348533154658,2348533888448,2348534622759,2348534622780,3090.148
225,2348534631781,2348536185220,2348536929932,2348537674249,2348537674273,3042.492
226,2348537682533,2348539220486,2348539987875,2348540761404,2348540761430,3078.897
227,2348540769736,2348542292305,2348543284837,2348544138348,2348544138372,3368.636
228,2348544145139,2348545701676,2348546453122,2348547160285,2348547160311,3015.172
229,2348547872929,2348549520430,2348550257056,2348550971604,2348550971641,3098.712
230,2348550980168,2348552600945,2348553342231,2348554047110,2348554047180,3067.012
231,2348554055289,2348555574973,2348556368685,2348557082564,2348557082589,3027.300
232,2348557088001,2348558940282,2348559901068,2348560671831,2348560671871,3583.870
233,2348560679066,2348562234221,2348562978351,2348563713255,2348563713280,3034.214
234,2348563723272,2348565280225,2348566011031,2348566720159,2348566720183,2996.911
235,2348567725751,2348569332941,2348570070621,2348570805057,2348570805080,3079.329
236,2348570813683,2348572489019,2348573232303,2348573942991,2348573943024,3129.341
237,2348573949451,2348575461334,2348576370139,2348577118578,2348577118604,3169.153
238,2348577125404,2348578654111,2348579391499,2348580153152,2348580153186,3027.782
239,2348580158563,2348581700058,2348582720137,2348583599397,2348583599421,3440.858
240,2348583606329,2348585244411,2348586003057,2348586708872,2348586708896,3102.567
241,2348587534505,2348589365068,2348590121238,2348590851175,2348590851200,3316.695
242,2348590858623,2348592447076,2348593254645,2348594044832,2348594044871,3186.248
243,2348594052610,2348595596013,2348596403536,2348597119463,2348597119487,3066.877
244,2348597127940,2348598926713,2348599837997,2348600771998,2348600772060,3644.120
245,2348600782125,2348602750200,2348603819651,2348605148305,2348605148339,4366.214
246,2348605170313,2348607610953,2348608385804,2348609112917,2348609112941,3942.628
247,2348609917474,2348611919300,2348612989092,2348613899755,2348613899781,3982.307
248,2348613907357,2348615588322,2348616400426,2348617106156,2348617106330,3198.973
249,2348617112101,2348618629385,2348619391705,2348620180442,2348620180482,3068.381
250,2348620189326,2348621828609,2348622567882,2348623274971,2348623274995,3085.669
251,2348623281217,2348624927929,2348625656866,2348626357777,2348626357801,3076.584
252,2348626365481,2348628113701,2348628850895,2348629593998,2348629594023,3228.542
253,2348629601206,2348631136622,2348631895153,2348632682316,2348632682340,3081.134
254,2348633581572,2348635169259,2348635911052,2348636737475,2348636737499,3155.927
255,2348636746969,2348639282019,2348640478664,2348641341953,2348641342041,4595.072
256,2348641349750,2348643419033,2348644441382,2348645239512,2348645239536,3889.786
257,2348645247301,2348647531422,2348648550027,2348649453250,2348649453281,4205.980
258,2348649463293,2348651553161,2348652448248,2348653320745,2348653320773,3857.480
259,2348653332051,2348655639996,2348656832752,2348658133787,2348658133840,4801.789
260,2348658992169,2348661163016,2348661984813,2348662829942,2348662829966,3837.797
261,2348662838349,2348664650890,2348665469133,2348666285291,2348666285315,3446.966
262,2348666295162,2348668193474,2348669145550,2348670013508,2348670013543,3718.381
263,2348670022211,2348672079534,2348672839207,2348673548035,2348673548286,3526.075
264,2348673556014,2348675096142,2348675827013,2348676567548,2348676567572,3011.558
265,2348676573080,2348678441195,2348679179970,2348679892468,2348679892492,3319.412
266,2348680761630,2348682361307,2348683136191,2348683841991,2348683842112,3080.482
267,2348683850173,2348685491310,2348686230818,2348686939452,2348686939478,3089.305
268,2348686947406,2348688535762,2348689285304,2348690027912,2348690027938,3080.532
269,2348690035111,2348692151453,2348693008854,2348693924158,2348693924191,3889.080
270,2348693932510,2348695668537,2348696504362,2348697223963,2348697223988,3291.478
271,2348697270304,2348698994605,2348699733637,2348700526179,2348700526203,3255.899
272,2348701374559,2348702964261,2348703722704,2348704508761,2348704508787,3134.228
273,2348704517554,2348706452656,2348707398936,2348708287301,2348708287325,3769.771
274,2348708295328,2348710934880,2348713428799,2348714139429,2348714139453,5844.125
275,2348714147292,2348715727452,2348716558099,2348717263732,2348717263757,3116.465
276,2348717274183,2348718791487,2348719533767,2348720287249,2348720287273,3013.090
277,2348720291781,2348721979240,2348722831040,2348723652691,2348723652715,3360.934
278,2348724388966,2348726112514,2348727143246,2348727983126,2348727983153,3594.187
279,2348727994294,2348730341643,2348731207228,2348732088737,2348732088766,4094.472
280,2348732097962,2348734176196,2348735034920,2348735768857,2348735768887,3670.925
281,2348735781829,2348737758229,2348738952758,2348739882453,2348739882478,4100.649
282,2348739905217,2348742097628,2348743079343,2348743996456,2348743996483,4091.266
283,2348744050799,2348746302171,2348753622123,2348754572585,2348754572618,10521.819
284,2348755336138,2348756955552,2348757704057,2348758404640,2348758404677,3068.539
285,2348758411212,2348760119503,2348760856043,2348761591308,2348761591332,3180.120
286,2348761598658,2348763108859,2348763837151,2348764622774,2348764622816,3024.158
287,2348764630319,2348766145379,2348766874987,2348767651905,2348767651945,3021.626
288,2348767659441,2348769570684,2348770314906,2348771021215,2348771021240,3361.799
289,2348771029149,2348772656284,2348773405687,2348774121675,2348774121700,3092.551
290,2348774131004,2348775640017,2348776431363,2348777328112,2348777328138,3197.134
291,2348778043845,2348779629686,2348780480104,2348781182877,2348781182902,3139.057
292,2348781192949,2348782713498,2348783448565,2348784223488,2348784223520,3030.571
293,2348784229305,2348785744736,2348786556370,2348787450246,2348787450287,3220.982
294,2348787459880,2348789540978,2348790457508,2348791413949,2348791413976,3954.096
295,2348791424191,2348793699758,2348794607237,2348795330339,2348795330363,3906.172
296,2348795337743,2348796960876,2348797700740,2348798406976,2348798407003,3069.260
297,2348799060910,2348800679186,2348801414940,2348802118819,2348802118842,3057.932
298,2348802127450,2348803633893,2348804623456,2348805404933,2348805404966,3277.516
299,2348805411955,2348806994008,2348807740909,2348808503174,2348808503215,3091.260
300,2348808511673,2348810126881,2348810861458,2348811573759,2348811573784,3062.111
301,2348811641788,2348813384258,2348814122711,2348814826977,2348814827002,3185.214
302,2348814834383,2348816420557,2348817156148,2348817885007,2348817885024,3050.641
303,2348818488434,2348820352407,2348821294338,2348822093757,2348822093788,3605.354
304,2348822103113,2348824185755,2348825285877,2348826593923,2348826593968,4490.855
305,2348826606636,2348829846445,2348830621167,2348831329887,2348831329911,4723.275
306,2348831337468,2348832986315,2348833728464,2348834431184,2348834431209,3093.741
307,2348834440223,2348835951543,2348836740211,2348837448448,2348837448472,3008.249
308,2348837453611,2348839203814,2348840045312,2348840769424,2348840769448,3315.837
309,2348841392361,2348842944275,2348843970704,2348845017715,2348845017739,3625.378
310,2348845025460,2348846612773,2348847351570,2348848110917,2348848110941,3085.481
311,2348848120462,2348849634261,2348850366254,2348851095168,2348851095227,2974.765
312,2348851103314,2348852691724,2348853424763,2348854371228,2348854371334,3268.020
313,2348854378429,2348855946868,2348856744832,2348857494494,2348857494571,3116.142
314,2348857502699,2348859021394,2348859752333,2348860663499,2348860663536,3160.837
315,2348861256200,2348862834215,2348863603332,2348864380741,2348864380766,3124.566
316,2348864389154,2348865912864,2348866661814,2348867368054,2348867368078,2978.924
317,2348867371857,2348868929742,2348869682118,2348870389240,2348870389265,3017.408
318,2348870396388,2348871905844,2348872697366,2348873406909,2348873406934,3010.546
319,2348873413966,2348874922059,2348875661710,2348876540040,2348876540080,3126.114
320,2348876548679,2348878530522,2348879391951,2348880131572,2348880131598,3582.919
321,2348880724213,2348882323484,2348883065397,2348883773346,2348883773369,3049.156
322,2348883780838,2348885372789,2348886103521,2348886809504,2348886809528,3028.690
323,2348886817568,2348888486474,2348889224569,2348889936640,2348889936666,3119.098
324,2348889943412,2348891501784,2348892299157,2348893000645,2348893000669,3057.257
325,2348893007896,2348894600812,2348895352200,2348896111130,2348896111169,3103.273
326,2348896117987,2348897626442,2348898587317,2348899466212,2348899466310,3348.323
327,2348899474352,2348901146099,2348901928273,2348902632761,2348902633229,3158.877
328,2348903269097,2348904871364,2348905609541,2348906315399,2348906315424,3046.327
329,2348906324525,2348907845303,2348908619933,2348909324505,2348909324531,3000.006
330,2348909329533,2348911138749,2348911875177,2348912641216,2348912641241,3311.708
331,2348912694299,2348914397826,2348915133317,2348915839267,2348915839291,3144.992
332,2348915845890,2348917476499,2348918247450,2348918965363,2348918965387,3119.497
333,2348918973060,2348920532129,2348921261944,2348921986552,2348921986576,3013.516
334,2348922591141,2348924213387,2348924951941,2348925687029,2348925687056,3095.915
335,2348925697544,2348927761768,2348928675552,2348929504814,2348929504838,3807.294
336,2348929512855,2348931872118,2348933088929,2348934094805,2348934094829,4581.974
337,2348934102467,2348935903758,2348936699173,2348937406684,2348937406713,3304.246
338,2348937414303,2348938949728,2348939682209,2348940428529,2348940428562,3014.259
339,2348940437264,2348941938591,2348942660609,2348943518880,2348943518940,3081.676
340,2348944306345,2348946471592,2348947392830,2348948359950,2348948359989,4053.644
341,2348948367664,2348949932239,2348950674361,2348951385213,2348951385238,3017.574
342,2348951388739,2348952990215,2348953724175,2348954432662,2348954432798,3044.059
343,2348954442292,2348956229859,2348956991551,2348957707457,2348957707481,3265.189
344,2348957715034,2348959216885,2348960102115,2348960866393,2348960866419,3151.385
345,2348960873009,2348962427059,2348963213144,2348963934032,2348963934056,3061.047
346,2348964725826,2348966284717,2348967025010,2348967729168,2348967729192,3003.366
347,2348967734914,2348969344167,2348970080499,2348970791021,2348970791048,3056.134
