2026-08-29T19:24:13 | mlock=OFF | RT=OFF | frames=600 | avg_ms=1.666 | p95_ms=1.794 | p99_ms=8.004 | max_ms=45.241 | base_avg_ms=3.834 | speedup=2.30x | imp=+56.6%
2026-08-29T19:29:35 | mlock=OFF | RT=OFF | frames=600 | avg_ms=1.539 | p95_ms=1.754 | p99_ms=6.675 | max_ms=17.071 | base_avg_ms=3.569 | speedup=2.32x | imp=+56.9%
2026-08-29T19:30:12 | mlock=ON | RT=OFF | frames=600 | avg_ms=1.590 | p95_ms=1.833 | p99_ms=6.297 | max_ms=25.572 | base_avg_ms=3.479 | speedup=2.19x | imp=+54.3%
2026-08-29T19:31:25 | mlock=OFF | RT=OFF | frames=600 | avg_ms=1.852 | p95_ms=1.849 | p99_ms=17.309 | max_ms=34.351 | base_avg_ms=3.543 | speedup=1.91x | imp=+47.7%
2026-08-29T19:32:15 | mlock=ON | RT=OFF | frames=600 | avg_ms=1.554 | p95_ms=1.858 | p99_ms=5.235 | max_ms=38.549 | base_avg_ms=3.542 | speedup=2.28x | imp=+56.1%
2026-08-29T19:33:00 | mlock=ON | RT=ON | frames=600 | avg_ms=1.533 | p95_ms=1.900 | p99_ms=4.059 | max_ms=32.799 | base_avg_ms=3.382 | speedup=2.21x | imp=+54.7%
2026-08-29T19:40:25 | mlock=OFF | RT=OFF | frames=600 | avg_ms=1.671 | p95_ms=1.797 | p99_ms=7.611 | max_ms=48.058 | base_avg_ms=3.501 | speedup=2.10x | imp=+52.3%
2026-08-29T19:41:01 | mlock=ON | RT=OFF | frames=600 | avg_ms=1.645 | p95_ms=1.786 | p99_ms=4.459 | max_ms=70.590 | base_avg_ms=3.373 | speedup=2.05x | imp=+51.2%
2026-08-29T19:42:04 | mlock=OFF | RT=ON | frames=600 | avg_ms=1.586 | p95_ms=2.131 | p99_ms=5.627 | max_ms=35.430 | base_avg_ms=3.362 | speedup=2.12x | imp=+52.8%
2026-08-29T19:42:42 | mlock=ON | RT=ON | frames=600 | avg_ms=1.536 | p95_ms=1.871 | p99_ms=3.148 | max_ms=43.009 | base_avg_ms=3.314 | speedup=2.16x | imp=+53.7%
2026-08-29T20:18:47 | mlock=OFF | RT=OFF | frames=600 | avg_ms=1.814 | p95_ms=2.400 | p99_ms=12.312 | max_ms=33.184 | base_avg_ms=4.105 | speedup=2.26x | imp=+55.8%
2026-08-29T20:21:21 | mlock=OFF | RT=OFF | frames=600 | avg_ms=1.586 | p95_ms=1.930 | p99_ms=8.975 | max_ms=30.710 | base_avg_ms=3.471 | speedup=2.19x | imp=+54.3%
2026-08-29T20:21:36 | mlock=OFF | RT=OFF | frames=600 | avg_ms=1.645 | p95_ms=1.785 | p99_ms=7.255 | max_ms=44.097 | base_avg_ms=3.529 | speedup=2.15x | imp=+53.4%
2026-08-29T20:23:51 | mlock=OFF | RT=OFF | frames=600 | avg_ms=2.026 | p95_ms=2.353 | p99_ms=8.376 | max_ms=112.090 | base_avg_ms=4.066 | speedup=2.01x | imp=+50.2%
2026-08-29T20:28:14 | mlock=OFF | RT=OFF | frames=600 | avg_ms=1.635 | p95_ms=2.190 | p99_ms=11.500 | max_ms=28.599 | base_avg_ms=3.736 | speedup=2.29x | imp=+56.2%
2026-08-29T20:28:44 | mlock=OFF | RT=ON | frames=600 | avg_ms=1.760 | p95_ms=2.189 | p99_ms=8.662 | max_ms=46.922 | base_avg_ms=3.763 | speedup=2.14x | imp=+53.2%
2026-08-29T20:34:51 | mlock=ON | RT=ON | frames=600 | avg_ms=1.836 | p95_ms=2.132 | p99_ms=13.557 | max_ms=55.412 | base_avg_ms=4.082 | speedup=2.22x | imp=+55.0%
2026-08-29T20:43:53 | mlock=OFF | RT=OFF | frames=600 | avg_ms=1.535 | p95_ms=1.954 | p99_ms=6.284 | max_ms=21.226 | base_avg_ms=3.844 | speedup=2.50x | imp=+60.1%
2026-08-29T20:44:14 | mlock=ON | RT=OFF | frames=600 | avg_ms=1.538 | p95_ms=1.863 | p99_ms=5.506 | max_ms=38.849 | base_avg_ms=3.479 | speedup=2.26x | imp=+55.8%
2026-08-29T20:44:36 | mlock=OFF | RT=ON | frames=600 | avg_ms=1.645 | p95_ms=1.791 | p99_ms=6.160 | max_ms=43.522 | base_avg_ms=3.432 | speedup=2.09x | imp=+52.1%
2026-08-29T20:44:59 | mlock=ON | RT=ON | frames=600 | avg_ms=1.603 | p95_ms=1.692 | p99_ms=3.776 | max_ms=48.384 | base_avg_ms=3.550 | speedup=2.21x | imp=+54.8%
2026-08-29T20:50:12 | mlock=OFF | RT=OFF | frames=600 | avg_ms=1.872 | p95_ms=1.899 | p99_ms=15.835 | max_ms=65.794 | base_avg_ms=3.686 | speedup=1.97x | imp=+49.2%
2026-08-29T20:50:37 | mlock=ON | RT=OFF | frames=600 | avg_ms=1.698 | p95_ms=2.227 | p99_ms=5.320 | max_ms=50.846 | base_avg_ms=3.362 | speedup=1.98x | imp=+49.5%
2026-08-29T20:50:53 | mlock=OFF | RT=ON | frames=600 | avg_ms=1.808 | p95_ms=1.853 | p99_ms=14.240 | max_ms=51.626 | base_avg_ms=3.379 | speedup=1.87x | imp=+46.5%
2026-08-29T20:51:09 | mlock=ON | RT=ON | frames=600 | avg_ms=1.643 | p95_ms=1.691 | p99_ms=8.351 | max_ms=52.913 | base_avg_ms=3.446 | speedup=2.10x | imp=+52.3%
