frame_id,write_ns,denoiser_done_ns,edge_done_ns,overlay_done_ns,display_done_ns,end_to_end_us,denoiser_us,edge_us,overlay_us
0,2337732524860,2337735864079,2337735595565,2337735614753,2337768847490,36322.630,3339.219,3070.705,3089.893
1,2337749299110,2337752419202,2337752240805,2337752189871,2337768870824,19571.714,3120.092,2941.695,2890.761
2,2337765963837,2337768716844,2337768687605,2337768714959,2337768875943,2912.106,2753.007,2723.768,2751.122
3,2337782575797,2337790744145,2337790513400,2337790550808,2337790813948,8238.151,8168.348,7937.603,7975.011
4,2337799281978,2337801350855,2337801283519,2337801237640,2337801451690,2169.712,2068.877,2001.541,1955.662
5,2337815886527,2337818093587,2337818077830,2337818072259,2337818297681,2411.154,2207.060,2191.303,2185.732
6,2337832529665,2337834676043,2337834634968,2337834475423,2337834770184,2240.519,2146.378,2105.303,1945.758
7,2337849202821,2337851380005,2337851298717,2337851201077,2337851623831,2421.010,2177.184,2095.896,1998.256
8,2337865889311,2337868266625,2337868200516,2337868063478,2337868494076,2604.765,2377.314,2311.205,2174.167
9,2337882542423,2337885303076,2337884563840,2337884658475,2337885432568,2890.145,2760.653,2021.417,2116.052
10,2337899207933,2337901353939,2337901226567,2337901130160,2337901499762,2291.829,2146.006,2018.634,1922.227
11,2337915861577,2337918659305,2337917997729,2337918058044,2337918775130,2913.553,2797.728,2136.152,2196.467
12,2337932543875,2337934916017,2337934668646,2337934772770,2337935114597,2570.722,2372.142,2124.771,2228.895
13,2337949209495,2337952422370,2337952170296,2337952297356,2337952559817,3350.322,3212.875,2960.801,3087.861
14,2337965878282,2337969217698,2337969107780,2337968980217,2337969509345,3631.063,3339.416,3229.498,3101.935
15,2337982560109,2337984698259,2337984591295,2337984499594,2337985003158,2443.049,2138.150,2031.186,1939.485
16,2337999230155,2338000353731,2338000299948,2338000212427,2338000484408,1254.253,1123.576,1069.793,982.272
17,2338015879822,2338017110887,2338017027724,2338016880654,2338017304937,1425.115,1231.065,1147.902,1000.832
18,2338032614032,2338033661036,2338033572627,2338033454459,2338033780151,1166.119,1047.004,958.595,840.427
19,2338049233221,2338050427849,2338050364976,2338050158303,2338050899795,1666.574,1194.628,1131.755,925.082
20,2338065877206,2338066898807,2338066819062,2338066704350,2338067320734,1443.528,1021.601,941.856,827.144
21,2338082633860,2338083623448,2338083513676,2338083479833,2338083808977,1175.117,989.588,879.816,845.973
22,2338099281660,2338100472668,2338100398192,2338100264635,2338100884950,1603.290,1191.008,1116.532,982.975
23,2338115965728,2338117017340,2338116937719,2338116838518,2338117415260,1449.532,1051.612,971.991,872.790
24,2338132721404,2338133715315,2338133649985,2338133555726,2338133805588,1084.184,993.911,928.581,834.322
25,2338149287995,2338150448860,2338150387351,2338150239680,2338150556370,1268.375,1160.865,1099.356,951.685
26,2338165923704,2338166995600,2338166892448,2338166868663,2338167177173,1253.469,1071.896,968.744,944.959
27,2338182546494,2338183666806,2338183616939,2338183471190,2338184123521,1577.027,1120.312,1070.445,924.696
28,2338199389438,2338200406630,2338200358903,2338200229632,2338200811196,1421.758,1017.192,969.465,840.194
29,2338215989179,2338217022411,2338216941522,2338216834783,2338217056200,1067.021,1033.232,952.343,845.604
30,2338232553946,2338233939881,2338233793722,2338233683000,2338233977552,1423.606,1385.935,1239.776,1129.054
31,2338249241799,2338250531514,2338250495479,2338250310435,2338250756845,1515.046,1289.715,1253.680,1068.636
32,2338265915608,2338267132159,2338267067863,2338266928297,2338267201542,1285.934,1216.551,1152.255,1012.689
33,2338282636250,2338283680882,2338283615359,2338283459591,2338283734885,1098.635,1044.632,979.109,823.341
34,2338299271422,2338300340184,2338300272613,2338300104356,2338300373574,1102.152,1068.762,1001.191,832.934
35,2338315876189,2338316910362,2338316832176,2338316710358,2338317266615,1390.426,1034.173,955.987,834.169
36,2338332722337,2338333860764,2338333786181,2338333655680,2338334196957,1474.620,1138.427,1063.844,933.343
37,2338349234661,2338350453734,2338350350266,2338350299288,2338350583605,1348.944,1219.073,1115.605,1064.627
38,2338365879364,2338366883688,2338366832762,2338366700012,2338367283503,1404.139,1004.324,953.398,820.648
39,2338382664960,2338383821365,2338383752631,2338383586118,2338384076245,1411.285,1156.405,1087.671,921.158
40,2338399234687,2338400509297,2338400443966,2338400383444,2338400608832,1374.145,1274.610,1209.279,1148.757
41,2338415959491,2338417016663,2338416941329,2338416830092,2338417101605,1142.114,1057.172,981.838,870.601
42,2338432540297,2338433763400,2338433709624,2338433580771,2338433902142,1361.845,1223.103,1169.327,1040.474
43,2338449245896,2338450248245,2338450168900,2338450055604,2338450613480,1367.584,1002.349,923.004,809.708
44,2338466069869,2338467052790,2338466988833,2338466905127,2338467129265,1059.396,982.921,918.964,835.258
45,2338482528814,2338483567312,2338483489056,2338483303259,2338483568818,1040.004,1038.498,960.242,774.445
46,2338499210101,2338500220386,2338500153309,2338500057450,2338500406451,1196.350,1010.285,943.208,847.349
47,2338516037604,2338517205174,2338517043249,2338517129221,2338517568774,1531.170,1167.570,1005.645,1091.617
48,2338532546062,2338533716696,2338533649059,2338533547439,2338533737560,1191.498,1170.634,1102.997,1001.377
49,2338549214282,2338550341185,2338550299282,2338550165685,2338550680911,1466.629,1126.903,1085.000,951.403
50,2338566039597,2338567245169,2338567164354,2338567042585,2338567513486,1473.889,1205.572,1124.757,1002.988
51,2338582611612,2338583701625,2338583608203,2338583509871,2338583994073,1382.461,1090.013,996.591,898.259
52,2338599233935,2338600636502,2338600489602,2338600452153,2338600645103,1411.168,1402.567,1255.667,1218.218
53,2338615906669,2338617092744,2338617038883,2338616878166,2338617386554,1479.885,1186.075,1132.214,971.497
54,2338632735395,2338633762403,2338633681760,2338633560730,2338634049525,1314.130,1027.008,946.365,825.335
55,2338649284294,2338650223399,2338650159983,2338650070731,2338650309550,1025.256,939.105,875.689,786.437
56,2338665953425,2338666993068,2338666939475,2338666840992,2338667074201,1120.776,1039.643,986.050,887.567
57,2338682548257,2338683600991,2338683524285,2338683339113,2338683604037,1055.780,1052.734,976.028,790.856
58,2338699228926,2338700238516,2338700170053,2338700082870,2338700324940,1096.014,1009.590,941.127,853.944
